0.0,-1.44,-0.22
0.002,-1.48,-0.18
0.004,-1.44,-0.16
0.006,-1.48,-0.22
0.008,-1.44,-0.18
0.01,-1.5,-0.24
0.012,-1.44,-0.2
0.014,-1.48,-0.24
0.016,-1.48,-0.24
0.018000000000000002,-1.42,-0.18
0.02,-1.5,-0.22
0.022,-1.42,-0.18
0.024,-1.42,-0.16
0.026000000000000002,-1.48,-0.22
0.028,-1.44,-0.18
0.03,-1.48,-0.22
0.032,-1.48,-0.2
0.034,-1.42,-0.24
0.036000000000000004,-1.42,-0.24
0.038,-1.48,-0.2
0.04,-1.48,-0.22
0.042,-1.42,-0.16
0.044,-1.44,-0.22
0.046,-1.48,-0.16
0.048,-1.48,-0.22
0.05,-1.42,-0.18
0.052000000000000005,-1.42,-0.2
0.054,-1.48,-0.24
0.056,-1.44,-0.24
0.058,-1.48,-0.18
0.06,-1.5,-0.22
0.062,-1.44,-0.18
0.064,-1.48,-0.16
0.066,-1.44,-0.22
0.068,-1.44,-0.18
0.07,-1.5,-0.22
0.07200000000000001,-1.48,-0.18
0.074,-1.44,-0.24
0.076,-1.44,-0.24
0.078,-1.48,-0.18
0.08,-1.5,-0.22
0.082,-1.44,-0.18
0.084,-1.48,-0.16
0.08600000000000001,-1.44,-0.22
0.088,-1.44,-0.18
0.09,-1.5,-0.24
0.092,-1.48,-0.18
0.094,-1.42,-0.24
0.096,-1.48,-0.2
0.098,-1.44,-0.24
0.1,-1.44,-0.22
0.10200000000000001,-1.5,-0.18
0.10400000000000001,-1.48,-0.16
0.106,-1.44,-0.22
0.108,-1.44,-0.18
0.11,-1.5,-0.24
0.112,-1.48,-0.2
0.114,-1.42,-0.24
0.116,-1.44,-0.24
0.11800000000000001,-1.48,-0.18
0.12,-1.48,-0.22
0.122,-1.42,-0.18
0.124,-1.42,-0.18
0.126,-1.48,-0.22
0.128,-1.42,-0.18
0.13,-1.48,-0.24
0.132,-1.46,-0.2
0.134,-1.42,-0.24
0.136,-1.48,-0.24
0.138,-1.42,-0.18
0.14,-1.48,-0.22
0.14200000000000002,-1.42,-0.18
0.14400000000000002,-1.42,-0.22
0.146,-1.48,-0.16
0.148,-1.48,-0.18
0.15,-1.42,-0.22
0.152,-1.42,-0.24
0.154,-1.48,-0.2
0.156,-1.46,-0.24
0.158,-1.42,-0.2
0.16,-1.42,-0.22
0.162,-1.48,-0.16
0.164,-1.42,-0.18
0.166,-1.48,-0.22
0.168,-1.42,-0.18
0.17,-1.48,-0.24
0.17200000000000001,-1.46,-0.2
0.17400000000000002,-1.42,-0.24
0.176,-1.46,-0.24
0.178,-1.42,-0.2
0.18,-1.42,-0.22
0.182,-1.48,-0.18
0.184,-1.46,-0.18
0.186,-1.42,-0.22
0.188,-1.42,-0.18
0.19,-1.48,-0.22
0.192,-1.42,-0.2
0.194,-1.46,-0.24
0.196,-1.46,-0.24
0.198,-1.42,-0.18
0.2,-1.42,-0.22
0.202,-1.48,2.22
0.20400000000000001,-1.42,2.24
0.20600000000000002,-1.46,2.2
0.20800000000000002,-1.42,2.22
0.21,-1.48,2.18
0.212,-1.46,2.2
0.214,-1.4,2.16
0.216,-1.42,2.16
0.218,-1.48,2.22
0.22,-1.42,2.18
0.222,-1.46,2.22
0.224,-1.46,2.22
0.226,-1.42,2.18
0.228,-1.42,2.22
0.23,-1.48,2.16
0.232,-1.46,2.2
0.234,-1.42,2.16
0.23600000000000002,-1.42,2.16
0.23800000000000002,-1.48,2.22
0.24,-1.46,2.18
0.242,-1.42,2.22
0.244,-1.42,2.24
0.246,-1.48,2.18
0.248,-1.48,2.22
0.25,-1.42,2.18
0.252,-1.44,2.16
0.254,-1.48,2.22
0.256,-1.44,2.16
0.258,-1.5,2.22
0.26,-1.48,2.18
0.262,-1.44,2.22
0.264,-1.44,2.24
0.266,-1.48,2.18
0.268,-1.44,2.22
0.27,-1.5,2.18
0.272,-1.44,2.2
0.274,-1.48,2.16
0.276,-1.44,2.16
0.278,-1.5,2.22
0.28,-1.48,2.18
0.28200000000000003,-1.44,2.22
0.28400000000000003,-1.48,2.24
0.28600000000000003,-1.44,2.18
0.28800000000000003,-1.48,2.22
0.29,-1.44,2.18
0.292,-1.48,2.22
0.294,-1.44,2.16
0.296,-1.44,2.16
0.298,-1.5,2.22
0.3,-1.48,2.18
0.302,-1.44,2.22
0.304,-1.48,2.24
0.306,-1.44,2.18
0.308,-1.44,2.22
0.31,-1.5,2.16
0.312,-1.44,2.2
0.314,-1.48,2.16
0.316,-1.44,2.16
0.318,-1.5,2.22
0.32,-1.48,2.22
0.322,-1.44,2.18
0.324,-1.48,2.22
0.326,-1.44,2.18
0.328,-1.44,2.22
0.33,-1.5,2.16
0.332,-1.48,2.2
0.334,-1.44,2.16
0.336,-1.44,2.16
0.338,-1.5,2.22
0.34,-1.44,2.18
0.342,-1.48,2.24
0.34400000000000003,-1.48,2.18
0.34600000000000003,-1.44,2.24
0.34800000000000003,-1.44,2.22
0.35000000000000003,-1.5,2.16
0.352,-1.48,2.2
0.354,-1.44,2.16
0.356,-1.48,2.16
0.358,-1.44,2.22
0.36,-1.42,2.22
0.362,-1.48,2.18
0.364,-1.44,2.24
0.366,-1.48,2.18
0.368,-1.44,2.22
0.37,-1.48,2.18
0.372,-1.48,2.2
0.374,-1.42,2.16
0.376,-1.42,2.16
0.378,-1.5,2.22
0.38,-1.42,2.18
0.382,-1.48,2.22
0.384,-1.46,2.24
0.386,-1.42,2.18
0.388,-1.42,2.22
0.39,-1.48,2.18
0.392,-1.46,2.2
0.394,-1.42,2.16
