X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
901,0,2.24,-0.2,,
902,5.2,2.32,5,,
903,-0.2,2.26,-0.2,,
904,5.2,2.32,5,,
905,-0.2,2.18,-0.2,,
906,0,2.24,5,,
907,5.2,2.32,-0.2,,
908,0,2.28,5,,
909,5.2,2.32,-0.2,,
910,5.2,2.28,5,,
911,-0.2,2.32,-0.2,,
912,0,2.28,5,,
913,5.2,2.34,-0.2,,
914,0,2.28,5,,
915,5.2,2.34,-0.2,,
916,5.2,2.28,-0.2,,
917,-0.2,2.32,5,,
918,0,2.32,5,,
919,5.2,2.28,-0.2,,
920,0,2.22,-0.4,,
921,5.2,2.34,5,,
922,0,2.32,-0.2,,
923,5.2,2.2,5,,
924,-0.2,2.28,-0.2,,
925,5.2,2.34,5,,
926,5.2,2.32,-0.2,,
927,-0.2,2.22,5,,
928,0,2.28,-0.2,,
929,5.2,2.32,5,,
930,-0.2,2.26,-0.2,,
931,5.2,2.34,5,,
932,0,2.28,-0.2,,
933,5.2,2.34,5,,
934,-0.2,2.28,-0.2,,
935,5.2,2.34,5,,
936,0,2.26,-0.2,,
937,5.2,2.34,5,,
938,0,2.24,5,,
939,5.2,2.34,-0.2,,
940,0,2.16,5,,
941,5.2,2.34,-0.2,,
942,0,2.28,5,,
943,5.2,2.34,-0.2,,
944,0,2.34,5,,
945,5.2,2.16,-0.2,,
946,0,2.34,5,,
947,5.2,2.28,-0.2,,
948,5.2,2.34,5,,
949,0,2.26,-0.2,,
950,5.2,2.34,5,,
951,-0.2,2.28,-0.2,,
952,5.2,2.34,5,,
953,-0.2,2.26,-0.2,,
954,5.2,2.34,5,,
955,0,2.28,-0.2,,
956,5.2,2.34,5,,
957,-0.2,2.28,-0.2,,
958,5.2,2.3,5,,
959,-0.2,2.34,-0.2,,
960,5.2,2.34,-0.2,,
961,0,2.3,5,,
962,5.2,2.34,-0.2,,
963,-0.2,2.3,5,,
964,5.2,2.3,-0.2,,
965,-0.2,2.38,5,,
966,5.2,2.34,-0.2,,
967,0,2.3,5,,
968,5.2,2.34,-0.2,,
969,-0.2,2.28,5,,
970,5.2,2.34,-0.2,,
971,-0.2,2.26,5,,
972,5.2,2.3,-0.2,,
973,0,2.36,5,,
974,5.2,2.38,-0.2,,
975,0,2.26,5,,
976,5.2,2.38,-0.2,,
977,-0.2,2.3,5,,
978,5.2,2.38,5,,
979,-0.2,2.24,-0.2,,
980,5.2,2.36,5,,
981,-0.2,2.28,-0.2,,
982,5.2,2.38,5,,
983,0,2.2,-0.2,,
984,5.2,2.38,5,,
985,0,2.24,-0.2,,
986,5.2,2.38,5,,
987,0,2.24,-0.4,,
988,5,2.38,5,,
989,0,2.26,-0.2,,
990,5.2,2.38,5,,
991,-0.2,2.26,-0.2,,
992,5.2,2.26,5,,
993,0,2.36,-0.2,,
994,5.2,2.38,5,,
995,0,2.28,-0.2,,
996,5.2,2.38,5,,
997,-0.2,2.3,-0.2,,
998,5.2,2.38,5,,
999,0,2.24,-0.4,,
1000,5.2,2.38,5,,
1001,0,2.3,-0.2,,
1002,5.2,2.3,-0.2,,
1003,-0.2,2.38,5,,
1004,5.2,2.34,-0.2,,
1005,-0.2,2.38,5,,
1006,0,2.38,-0.2,,
1007,5.2,2.3,5,,
1008,0,2.38,-0.2,,
1009,5.2,2.3,5,,
1010,5.2,2.3,-0.2,,
1011,-0.2,2.38,5,,
1012,5.2,2.3,-0.2,,
1013,-0.2,2.38,5,,
1014,0,2.3,-0.2,,
1015,5.2,2.38,5,,
1016,5.2,2.38,-0.2,,
1017,-0.2,2.28,5,,
1018,-0.2,2.34,5,,
1019,5.2,2.38,-0.4,,
1020,0,2.38,-0.2,,
1021,5.2,2.32,5,,
1022,5.2,2.3,5,,
1023,-0.2,2.38,-0.2,,
1024,-0.2,2.38,5,,
1025,5.2,2.34,-0.2,,
1026,0,2.34,5,,
1027,5.2,2.38,-0.2,,
1028,0,2.34,5,,
1029,5.2,2.38,-0.2,,
1030,-0.2,2.3,5,,
1031,5.2,2.38,-0.4,,
1032,-0.2,2.34,5,,
1033,5.2,2.38,-0.2,,
1034,0,2.34,5,,
1035,5.2,2.4,-0.2,,
1036,0,2.32,5,,
1037,5.2,2.38,-0.2,,
1038,0,2.34,5,,
1039,5.2,2.38,-0.2,,
1040,-0.2,2.38,5,,
1041,5.2,2.34,-0.2,,
1042,0,2.38,-0.2,,
1043,5.2,2.34,5,,
1044,-0.2,2.34,-0.2,,
1045,5.2,2.4,5,,
1046,0,2.34,-0.2,,
1047,5.2,2.4,5,,
1048,0,2.4,-0.2,,
1049,5.2,2.22,5,,
1050,0,2.24,-0.2,,
1051,5.2,2.4,5,,
1052,5.2,2.38,5,,
1053,0,2.26,-0.2,,
1054,-0.2,2.28,-0.2,,
1055,5.2,2.4,5,,
1056,5.2,2.4,-0.2,,
1057,0,2.32,5,,
1058,5.2,2.38,-0.2,,
1059,0,2.3,5,,
1060,5.2,2.34,-0.2,,
1061,0,2.38,5,,
1062,5.2,2.38,5,,
1063,0,2.26,-0.2,,
1064,5.2,2.34,5,,
1065,-0.2,2.4,-0.2,,
1066,5.2,2.3,5,,
1067,0,2.4,-0.2,,
1068,5.2,2.4,5,,
1069,0,2.32,-0.2,,
1070,5.2,2.4,5,,
1071,0,2.34,-0.2,,
1072,5.2,2.4,5,,
1073,0,2.34,-0.2,,
1074,5.2,2.4,5,,
1075,0,2.32,-0.2,,
1076,5.2,2.4,5,,
1077,-0.2,2.34,-0.2,,
1078,5.2,2.4,5,,
1079,0,2.34,-0.2,,
1080,5.2,2.4,5,,
1081,-0.2,2.34,-0.2,,
1082,5.2,2.38,5,,
1083,-0.2,2.34,-0.2,,
1084,5.2,2.38,5,,
1085,0,2.3,-0.2,,
1086,5.2,2.34,-0.2,,
1087,0,2.4,5,,
1088,5.2,2.4,-0.2,,
1089,0,2.34,5,,
1090,5.2,2.4,-0.2,,
1091,-0.2,2.34,5,,
1092,5.2,2.4,5,,
1093,-0.2,2.34,-0.2,,
1094,5.2,2.4,-0.2,,
1095,0,2.34,5,,
1096,5.2,2.4,-0.2,,
1097,-0.2,2.3,5,,
1098,5.2,2.4,-0.2,,
1099,0,2.34,5,,
1100,5.2,2.4,-0.2,,
1101,-0.2,2.34,5,,
1102,5.2,2.4,-0.2,,
1103,0,2.32,5,,
1104,5.2,2.34,5,,
1105,0,2.4,-0.2,,
1106,5.2,2.4,5,,
1107,0,2.26,-0.2,,
1108,0,2.34,5,,
1109,5.2,2.4,-0.2,,
1110,5.2,2.26,5,,
1111,-0.2,2.4,-0.2,,
1112,0,2.4,5,,
1113,5.2,2.34,-0.2,,
1114,0,2.26,5,,
1115,5.2,2.4,-0.2,,
1116,0,2.36,5,,
1117,5.2,2.4,-0.2,,
1118,-0.2,2.4,5,,
1119,5.2,2.28,-0.2,,
1120,0,2.36,5,,
1121,5.2,2.4,-0.2,,
1122,5.2,2.4,5,,
1123,-0.2,2.36,-0.2,,
1124,0,2.36,5,,
1125,5.2,2.4,-0.2,,
1126,-0.2,2.4,5,,
1127,5.2,2.34,-0.2,,
1128,0,2.36,-0.2,,
1129,5.2,2.4,5,,
1130,0,2.4,-0.2,,
1131,5.2,2.34,5,,
1132,0,2.4,-0.2,,
1133,5.2,2.36,5,,
1134,0,2.36,-0.2,,
1135,5.2,2.44,5,,
1136,0,2.36,-0.2,,
1137,5.2,2.44,5,,
1138,-0.2,2.36,-0.2,,
1139,5.2,2.44,5,,
1140,-0.2,2.34,-0.2,,
1141,5.2,2.44,5,,
1142,0,2.36,-0.2,,
1143,5.2,2.44,5,,
1144,0,2.3,-0.2,,
1145,5.2,2.44,5,,
1146,-0.2,2.4,-0.4,,
1147,5.2,2.34,5,,
1148,-0.2,2.32,5,,
1149,5.2,2.44,-0.2,,
1150,5.2,2.4,5,,
1151,0,2.3,-0.2,,
1152,5.2,2.32,5,,
1153,-0.2,2.44,-0.2,,
1154,5.2,2.28,5,,
1155,0,2.44,-0.2,,
1156,5.2,2.44,5,,
1157,-0.2,2.32,-0.2,,
1158,5.2,2.38,5,,
1159,-0.2,2.44,-0.2,,
1160,5.2,2.42,5,,
1161,-0.2,2.36,-0.2,,
1162,5.2,2.36,5,,
1163,0,2.44,-0.2,,
1164,5.2,2.44,5,,
1165,-0.2,2.36,-0.2,,
1166,5.2,2.44,5,,
1167,0,2.36,-0.2,,
1168,5.2,2.44,5,,
1169,0,2.36,-0.2,,
1170,5.2,2.34,-0.2,,
1171,-0.2,2.44,5,,
1172,5.2,2.44,-0.2,,
1173,0,2.38,5,,
1174,5.2,2.44,-0.2,,
1175,0,2.28,5,,
1176,5.2,2.44,-0.2,,
1177,0,2.34,5,,
1178,5.2,2.44,-0.2,,
1179,-0.2,2.34,5,,
1180,5.2,2.44,-0.2,,
1181,-0.2,2.34,5,,
1182,5.2,2.44,-0.2,,
1183,-0.2,2.34,5,,
1184,5.2,2.44,-0.2,,
1185,0,2.34,5,,
1186,5.2,2.44,-0.2,,
1187,0,2.34,5,,
1188,5.2,2.44,-0.2,,
1189,0,2.36,5,,
1190,5.2,2.44,5,,
1191,-0.2,2.36,-0.2,,
1192,5.2,2.38,5,,
1193,0,2.44,-0.2,,
1194,5.2,2.44,5,,
1195,-0.2,2.34,-0.2,,
1196,5.2,2.38,5,,
1197,0,2.46,-0.2,,
1198,5.2,2.44,5,,
1199,-0.2,2.28,-0.2,,
