X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
206,-0.2,1,-0.2,,
207,5.2,0.92,5,,
208,-0.2,0.92,-0.2,,
209,5.2,1,5,,
210,-0.2,0.94,-0.2,,
211,5.2,1,5,,
212,-0.2,1,-0.2,,
213,5.2,0.92,5,,
214,-0.2,1,-0.2,,
215,5.2,0.92,5,,
216,5.2,0.94,-0.2,,
217,-0.2,1,5,,
218,-0.2,0.94,-0.2,,
219,5.2,1,5,,
220,-0.2,1,-0.2,,
221,5.2,0.94,5,,
222,-0.2,0.94,5,,
223,5.2,1.02,-0.2,,
224,-0.2,0.94,5,,
225,5.2,1.02,-0.2,,
226,-0.2,0.94,5,,
227,5.2,1.02,-0.2,,
228,-0.2,0.94,5,,
229,5.2,1.02,-0.2,,
230,0,0.92,5,,
231,5.2,1.02,-0.2,,
232,-0.2,0.92,5,,
233,5.2,1.04,-0.2,,
234,-0.2,0.98,5,,
235,5.2,1.04,-0.2,,
236,-0.2,0.98,5,,
237,5.2,1.04,-0.2,,
238,-0.2,0.98,5,,
239,5.2,1.08,-0.2,,
240,-0.2,0.98,5,,
241,5.2,1.04,-0.2,,
242,-0.2,0.98,-0.2,,
243,5.2,1.04,5,,
244,-0.2,1,5,,
245,5.2,1.04,-0.2,,
246,-0.2,0.98,-0.2,,
247,5.2,1.06,5,,
248,5.2,1,-0.2,,
249,0,1.08,5,,
250,0,0.98,-0.2,,
251,5.2,1.08,5,,
252,5.2,1.08,-0.2,,
253,-0.2,1,5,,
254,5.2,1.08,-0.2,,
255,-0.2,0.98,5,,
256,5.2,1.08,-0.2,,
257,-0.2,1.04,5,,
258,-0.2,1.08,-0.2,,
259,5.2,1,5,,
260,5.2,1.02,-0.2,,
261,-0.2,1.1,5,,
262,5.2,1.1,5,,
263,-0.2,0.96,-0.2,,
264,5.2,1.1,5,,
265,0,1.04,-0.2,,
266,5.2,1.1,5,,
267,-0.2,1.02,-0.2,,
268,0,1.1,5,,
269,5.2,1.04,-0.2,,
270,-0.2,1.1,5,,
271,5.2,1.04,-0.2,,
272,5.2,1.12,5,,
273,-0.2,1.04,-0.2,,
274,5.2,1.14,5,,
275,-0.2,1.06,-0.2,,
276,5.2,1.08,5,,
277,-0.2,1.14,-0.2,,
278,-0.2,1.14,5,,
279,5.2,1.08,-0.2,,
280,5.2,1.14,5,,
281,-0.2,1.08,-0.2,,
282,5.2,1.14,5,,
283,0,1.1,-0.2,,
284,5.2,1.16,5,,
285,-0.2,1.12,-0.2,,
286,5.2,1.16,5,,
287,-0.2,1.08,-0.4,,
288,5.2,1.16,5,,
289,-0.2,0.92,-0.4,,
290,5.2,1.16,-0.2,,
291,-0.2,1.12,5,,
292,5.2,1.2,-0.2,,
293,-0.2,1.12,5,,
294,5.2,1.12,-0.2,,
295,-0.2,1.2,5,,
296,5.2,1.14,-0.2,,
297,-0.2,1.2,5,,
298,5.2,1.14,-0.2,,
299,0,1.2,5,,
300,0,1.14,-0.2,,
301,5.2,1.2,5,,
302,0,1.14,-0.2,,
303,5.2,1.22,5,,
304,0,1.22,-0.2,,
305,5.2,1.14,5,,
306,5.2,1.18,5,,
307,-0.2,1.22,-0.2,,
308,0,1.18,5,,
309,5.2,1.22,-0.2,,
310,0,1.22,5,,
311,5.2,1.18,-0.2,,
312,0,1.18,5,,
313,5.2,1.24,-0.2,,
314,-0.2,1.2,5,,
315,5.2,1.26,-0.2,,
316,5.2,1.18,5,,
317,-0.2,1.26,-0.2,,
318,0,1.2,5,,
319,5.2,1.28,-0.2,,
320,-0.2,1.2,5,,
321,5.2,1.26,-0.2,,
322,0,1.2,5,,
323,5.2,1.28,-0.2,,
324,-0.2,1.24,5,,
325,5.2,1.28,-0.2,,
326,-0.2,1.2,5,,
327,5.2,1.3,-0.2,,
328,0,1.2,-0.2,,
329,5.2,1.3,5,,
330,0,1.24,5,,
331,5.2,1.3,-0.4,,
332,-0.2,1.24,-0.2,,
333,5.2,1.3,5,,
334,5.2,1.3,-0.2,,
335,-0.2,1.24,5,,
336,0,1.3,-0.2,,
337,5.2,1.24,5,,
338,-0.2,1.26,-0.2,,
339,5.2,1.34,5,,
340,-0.2,1.26,-0.2,,
341,5.2,1.34,5,,
342,0,1.34,-0.2,,
343,5.2,1.26,5,,
344,5.2,1.28,-0.2,,
345,0,1.36,5,,
346,-0.2,1.3,-0.2,,
347,5.2,1.36,5,,
348,5.2,1.36,5,,
349,-0.2,1.3,-0.2,,
350,5.2,1.36,5,,
351,-0.2,1.3,-0.2,,
352,5.2,1.36,5,,
353,0,1.32,-0.2,,
354,5.2,1.36,5,,
355,0,1.3,-0.2,,
356,5.2,1.36,5,,
357,-0.2,1.32,-0.2,,
358,5.2,1.4,5,,
359,0,1.34,-0.2,,
360,5.2,1.4,5,,
361,0,1.32,-0.2,,
362,5.2,1.4,5,,
363,0,1.3,-0.2,,
364,5.2,1.36,5,,
365,-0.2,1.42,-0.2,,
366,0,1.42,5,,
367,5.2,1.34,-0.2,,
368,5.2,1.42,-0.2,,
369,0,1.38,5,,
370,5.2,1.42,-0.2,,
371,0,1.38,5,,
372,5.2,1.42,-0.2,,
373,-0.2,1.38,5,,
374,5.2,1.38,-0.2,,
375,0,1.46,5,,
376,5.2,1.46,-0.2,,
377,-0.2,1.38,5,,
378,5.2,1.4,-0.2,,
379,-0.2,1.46,5,,
380,5.2,1.46,-0.2,,
381,-0.2,1.4,5,,
382,5.2,1.4,-0.2,,
383,-0.2,1.46,5,,
384,5.2,1.48,-0.2,,
385,-0.2,1.4,5,,
386,5.2,1.48,-0.2,,
387,-0.2,1.4,5,,
388,5.2,1.48,5,,
389,-0.2,1.42,-0.2,,
390,5.2,1.44,5,,
391,0,1.48,-0.2,,
392,5.2,1.5,5,,
393,-0.2,1.4,-0.2,,
394,5.2,1.48,5,,
395,0,1.42,-0.2,,
396,5.2,1.52,5,,
397,-0.2,1.36,-0.2,,
398,5.2,1.52,5,,
399,-0.2,1.44,-0.2,,
400,5.2,1.38,5,,
401,-0.2,1.52,-0.2,,
402,5.2,1.38,5,,
403,0,1.52,-0.2,,
404,5.2,1.46,5,,
405,-0.2,1.54,-0.2,,
406,0,1.46,5,,
407,5.2,1.54,-0.2,,
408,0,1.5,5,,
409,5.2,1.54,-0.2,,
410,0,1.48,5,,
411,5.2,1.54,-0.2,,
412,0,1.5,-0.2,,
413,5.2,1.56,5,,
414,0,1.5,-0.2,,
415,5.2,1.56,5,,
416,0,1.5,-0.2,,
417,5.2,1.56,5,,
418,5.2,1.5,-0.2,,
419,-0.2,1.56,5,,
420,-0.2,1.52,-0.2,,
421,5.2,1.56,5,,
422,0,1.52,-0.2,,
423,5.2,1.6,5,,
424,0,1.52,-0.2,,
425,5.2,1.58,5,,
426,0,1.54,-0.2,,
427,5.2,1.6,5,,
428,0,1.52,-0.2,,
429,5.2,1.6,5,,
430,-0.2,1.56,-0.2,,
431,5.2,1.6,5,,
432,-0.2,1.52,5,,
433,5.2,1.62,-0.2,,
